date,action,price,shares,commission,slippage,reason
2012-12-14,buy,2.396,41715.36936039493,29.98500749625187,19.99000499750125,signal
2013-03-01,sell,2.666,41715.36936039493,33.36395241444386,22.242634942962578,signal
2013-11-27,buy,2.465,45071.81221861909,33.33060513566881,22.22040342377921,signal
2013-12-20,sell,2.333,45071.81221861909,31.5457613718115,21.03050758120767,signal
2014-11-04,buy,2.547,41243.59557052464,31.514231375437877,21.009487583625255,signal
2015-01-30,sell,3.421,41243.59557052464,42.32830213402943,28.218868089352956,signal
2015-03-02,buy,3.587,39295.59983781218,42.285994985469685,28.190663323646458,signal
2015-06-25,sell,4.696,39295.59983781218,55.35964105150979,36.906427367673196,signal
2015-12-22,buy,3.927,46943.6457655936,55.30430907644582,36.86953938429722,signal
2016-01-04,sell_stop,3.535,46943.6457655936,49.78373633441201,33.18915755627468,stop_loss
2016-06-07,buy,3.177,52181.279485369894,49.733977477506045,33.15598498500403,signal
2016-08-09,sell,3.304,52181.279485369894,51.722084225898634,34.481389483932425,signal
2016-08-15,buy,3.447,49966.529339319975,51.67038798979078,34.44692532652719,signal
2016-09-19,sell,3.318,49966.529339319975,49.7366833043591,33.157788869572734,signal
2016-10-19,buy,3.379,49015.459679361185,49.68697147696843,33.124647651312294,signal
2016-12-15,sell,3.395,49015.459679361185,49.92224568342936,33.28149712228625,signal
2017-05-26,buy,3.487,47674.55155950144,49.87234838639445,33.24823225759631,signal
2017-08-22,sell,3.803,47674.55155950144,54.39189587423518,36.26126391615679,signal
2017-08-25,buy,3.859,46935.76156233714,54.337531160717695,36.225020773811806,signal
2017-12-05,sell,4.099,46935.76156233714,57.71690599320598,38.47793732880399,signal
2018-01-03,buy,4.158,46223.51926506634,57.65921793124375,38.43947862082917,signal
2018-02-08,sell,4.012,46223.51926506634,55.634627787433836,37.089751858289226,signal
2018-09-27,buy,3.472,53359.275118143814,55.579020963058596,37.05268064203907,signal
2018-10-11,sell_stop,3.174,53359.275118143814,50.80870176749653,33.87246784499769,stop_loss
2019-08-27,buy,3.874,43673.99626345214,50.75791845738408,33.83861230492273,signal
2019-10-09,sell,3.905,43673.99626345214,51.16408662263417,34.10939108175612,signal
2019-10-24,buy,3.939,43253.743001836534,51.11294810527023,34.07529873684682,signal
2019-10-25,sell,3.963,43253.743001836534,51.42437505488345,34.28291670325564,signal
2019-11-01,buy,4.026,42534.34043646832,51.37297637916644,34.248650919444295,signal
2019-11-21,sell,3.95,42534.34043646832,50.403193417214965,33.602128944809984,signal
2019-12-18,buy,4.027,41679.34393907786,50.352815412799956,33.56854360853331,signal
2020-02-03,sell_stop,3.659,41679.34393907786,45.75141584192576,30.50094389461718,stop_loss
2020-02-25,buy,4.104,37122.87791614654,45.70568729035962,30.470458193573084,signal
2020-03-16,sell_stop,3.726,37122.87791614654,41.4959529346686,27.663968623112407,stop_loss
2020-10-16,buy,4.853,28473.43754333513,41.45447771934161,27.63631847956108,signal
2020-12-22,sell,5.033,28473.43754333513,42.99204334668171,28.661362231121142,signal
2020-12-23,buy,5.074,28215.131249910693,42.94907278861405,28.632715192409375,signal
2021-03-03,sell,5.454,28215.131249910693,46.16559775110387,30.777065167402583,signal
2021-09-10,buy,5.091,30196.72312225234,46.119455224616004,30.746303483077337,signal
2021-09-28,sell,4.954,30196.72312225234,44.878369904291425,29.918913269527618,signal
2021-11-24,buy,4.997,29906.95348032693,44.8335139623581,29.889009308238737,signal
2021-11-29,sell,4.929,29906.95348032693,44.22341211135944,29.482274740906295,signal
2021-12-03,buy,4.979,29577.030728997655,44.17921079990379,29.452807199935865,signal
2021-12-29,sell,4.96,29577.030728997655,44.0106217247485,29.340414483165674,signal
2023-01-09,buy,4.07,36008.708515427905,43.96663309733747,29.31108873155832,signal
2023-02-17,sell,4.029,36008.708515427905,43.52372598259771,29.01581732173181,signal
2023-04-04,buy,4.1,35349.775615937084,43.48022400760261,28.98681600506841,signal
2023-05-04,sell,4.025,35349.775615937084,42.68485405624403,28.456569370829357,signal
2024-02-22,buy,3.475,40903.77988868002,42.64219053394893,28.42812702263262,signal
2024-04-09,sell,3.523,40903.77988868002,43.23120496434591,28.820803309563946,signal
2024-04-29,buy,3.616,39811.9426292235,43.18799536418165,28.791996909454436,signal
2024-06-05,sell,3.599,39811.9426292235,42.98495445677261,28.65663630451508,signal
2024-07-19,buy,3.6,39761.102763011295,42.9419909840522,28.627993989368132,signal
2024-08-01,sell,3.483,39761.102763011295,41.5463762770705,27.69758418471367,signal
2024-09-27,buy,3.869,35758.46529128988,41.504850663600166,27.669900442400117,signal
2024-11-26,sell,3.923,35758.46529128988,42.084137801319066,28.056091867546044,signal
2024-12-23,buy,4.022,34843.42341709836,42.04207469507088,28.028049796713926,signal
2025-01-06,sell,3.853,34843.42341709836,40.27551312782399,26.850342085216,signal
2025-02-12,buy,4.014,33412.43791927328,40.23525774238888,26.823505161592593,signal
2025-04-01,sell,3.982,33412.43791927328,39.914498338363856,26.609665558909242,signal
2025-07-04,buy,4.032,32965.11556489834,39.87460378730103,26.583069191534022,signal
2025-11-21,sell,4.564,32965.11556489834,45.1358362314588,30.090557487639206,signal
2026-04-16,buy,4.746,31669.28146640478,45.09072295186713,30.06048196791142,signal
